>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:1QC6_A mol:protein-het length:130     Evh1 Domain From Ena/Vasp-Like Protein
>PDB:1QCO_A mol:protein length:423     Fumarylacetoacetate Hydrolase
>PDB:1QCS_A mol:protein-het length:211     N-Ethylmaleimide Sensitive Factor (Nsf-N
>PDB:1QDL_A mol:protein length:422     Anthranilate Synthase (Trpe-Subunit)
>PDB:1QDL_B mol:protein length:195     Anthranilate Synthase (Trpg-Subunit)
>PDB:1QDM_A mol:protein length:478     Prophytepsin
>PDB:1QDP_  mol:protein length:42     Robustoxin
>PDB:1QE0_A mol:protein length:420     Histidyl-tRNA Synthetase
>PDB:1QFF_A mol:protein-het length:725     Ferric Hydroxamate Uptake Receptor
>PDB:1QFJ_A mol:protein length:232     Flavin Reductase
>PDB:1QFQ_B mol:protein length:35     N-Protein Nutboxb
>PDB:1QFT_A mol:protein length:175     Female-Specific Histamine Binding Protein 2
>PDB:1QFX_A mol:protein length:460     pH 2.5 Acid Phosphatase
>PDB:1QG1_I mol:protein-het length:13     Shc-Derived Peptide
>PDB:1QG3_A mol:protein length:195     Integrin Beta-4 Subunit
>PDB:1QG9_A mol:protein length:21     Sodium Channel Protein, Brain II Alpha Subuni
>PDB:1QGB_A mol:protein length:93     Fibronectin
>PDB:1QGC_4 mol:protein-het length:438     Inmunoglobuline
>PDB:1QGC_5 mol:protein length:24     Gh-Loop From Virus Capsid Protein Vp1
>PDB:1QGI_A mol:protein length:259     Chitosanase
>PDB:1QGK_A mol:protein length:876     Importin Beta Subunit
>PDB:1QGK_B mol:protein length:44     Importin Alpha-2 Subunit
>PDB:1QGO_A mol:protein length:264     Anaerobic Cobalamine Biosynthetic Cobalt Che
>PDB:1QGT_C mol:protein length:149     Hbv Capsid Protein
>PDB:1QGV_A mol:protein length:142     Spliceosomal Protein U5-15Kd
>PDB:1QH3_A mol:protein length:260     Hydroxyacylglutathione Hydrolase
>PDB:1QHD_A mol:protein-het length:398     Viral Capsid Vp6
>PDB:1QHK_A mol:protein length:47     Ribonuclease Hi
>PDB:1QHL_A mol:protein length:227     Cell Division Protein Mukb
>PDB:1QHT_A mol:protein length:775     DNA Polymerase
>PDB:1QHU_A mol:protein length:460     Hemopexin
>PDB:1QHW_A mol:protein length:327     Purple Acid Phosphatase
>PDB:1QI9_A mol:protein-het length:556     Vanadium Bromoperoxidase
>PDB:1QIU_A mol:protein length:264     Adenovirus Fibre
>PDB:1QJK_A mol:protein length:36     Metallothionein
>PDB:1QJL_A mol:protein length:28     Metallothionein
>PDB:1QJT_A mol:protein length:99     Epidermal Growth Factor Receptor Substrate Su
>PDB:1QJV_A mol:protein length:342     Pectin Methylesterase
>PDB:1QK7_A mol:protein length:32     Selenocosmia Huwena Lectin-I
>PDB:1QKI_A mol:protein length:514     Glucose-6-Phosphate 1-Dehydrogenase
>PDB:1QKY_A mol:protein length:38     Toxin 7 From Pandinus Imperator
>PDB:1QLE_C mol:protein length:273     Cytochrome C Oxidase Polypeptide III
>PDB:1QLM_A mol:protein length:316     Methenyltetrahydromethanopterin Cyclohydrola
>PDB:1QLO_A mol:protein length:34     Herpes Simplex Virus Protein Icp47
>PDB:1QLW_A mol:protein length:328     Esterase
>PDB:1QM4_A mol:protein length:396     Methionine Adenosyltransferase, Alpha Form
>PDB:1QM9_A mol:protein length:198     Polypyrimidine Tract-Binding Protein
>PDB:1QMG_A mol:protein length:524     Acetohydroxy-Acid Isomeroreductase
>PDB:1QMH_A mol:protein length:347     RNA 3'-Terminal Phosphate Cyclase
>PDB:1QMJ_A mol:protein length:132     Beta-Galactoside-Binding Lectin
>PDB:1QMN_A mol:protein length:401     Alpha-1-Antichymotrypsin
>PDB:1QN0_A mol:protein length:112     Cytochrome C3
>PDB:1QN2_A mol:protein length:100     Cytochrome Ch
>PDB:1QNF_  mol:protein length:484     Photolyase
>PDB:1QNO_A mol:protein length:344     Endo-1,4-B-D-Mannanase
>PDB:1QO2_A mol:protein-het length:241     N-((5-Phosphoribosyl)-Formimino)-5-Amino
>PDB:1QO3_C mol:protein length:137     Ly49A
>PDB:1QO7_A mol:protein length:394     Epoxide Hydrolase
>PDB:1QOK_A mol:protein length:282     Mfe-23 Recombinant Antibody Fragment
>PDB:1QOL_A mol:protein length:173     Protease (Nonstructural Protein P20A)
>PDB:1QOR_A mol:protein length:327     Quinone Oxidoreductase Complexed With Nadph
>PDB:1QOU_A mol:protein length:181     Cen
>PDB:1QOW_A mol:protein-het length:20     Mersacidin
>PDB:1QOY_A mol:protein length:318     Hemolysin E
>PDB:1QO0_D mol:protein length:196     Amir
>PDB:1QP8_A mol:protein-het length:303     Formate Dehydrogenase
>PDB:1QPB_A mol:protein length:563     Pyruvate Decarboxylase (Form B)
>PDB:1QQ0_A mol:protein length:247     Carbonic Anhydrase
>PDB:1QQ1_A mol:protein length:559     Tailspike Protein
>PDB:1QQE_A mol:protein length:292     Vesicular Transport Protein Sec17
>PDB:1QQG_A mol:protein length:264     Insulin Receptor Substrate 1
>PDB:1QR0_A mol:protein length:228     4'-Phosphopantetheinyl Transferase Sfp
>PDB:1QR4_A mol:protein length:186     Tenascin
>PDB:1QRJ_B mol:protein length:199     Htlv-I Capsid Protein
>PDB:1QRY_A mol:protein length:80     Homeobox Ventral Nervous System Defective Pro
>PDB:1QS0_A mol:protein-het length:407     2-Oxoisovalerate Dehydrogenase Alpha-Sub
>PDB:1QS1_A mol:protein length:462     ADP-Ribosyltransferase
>PDB:1QS3_A mol:protein-het length:12     Des-Glu1-[Cys3Ala]-Des-Cys13-Alpha Conoto
>PDB:1QS7_B mol:protein-het length:21     Rs20
>PDB:1QSA_A mol:protein length:618     Soluble Lytic Transglycosylase Slt70
>PDB:1QSD_A mol:protein length:106     Beta-Tubulin Binding Post-Chaperonin Cofacto
>PDB:1QSM_A mol:protein length:152     Hpa2 Histone Acetyltransferase
>PDB:1QSV_A mol:protein length:101     Vascular Endothelial Growth Factor Receptor
>PDB:1QTF_A mol:protein length:246     Exfoliative Toxin B
>PDB:1QTR_A mol:protein length:317     Prolyl Aminopeptidase
>PDB:1QTT_A mol:protein length:117     Product Of The Mtcp1 Oncogene
>PDB:1QTW_A mol:protein length:285     Endonuclease IV
>PDB:1QU5_A mol:protein length:182     Protein Kinase Spk1
>PDB:1QU6_A mol:protein length:179     Protein Kinase Pkr
>PDB:1QU7_A mol:protein length:227     Methyl-Accepting Chemotaxis Protein I
>PDB:1QUQ_A mol:protein length:129     Replication Protein A 32 Kd Subunit
>PDB:1QVJ_A mol:protein-het length:292     ADP-Ribose Pyrophosphatase
>PDB:1QVR_A mol:protein length:854     Clpb Protein
>PDB:1QWK_A mol:protein length:317     Aldo-Keto Reductase Family 1 Member C1
>PDB:1QWG_A mol:protein length:251     (2R)-Phospho-3-Sulfolactate Synthase
>PDB:1QWJ_A mol:protein length:229     Cytidine Monophospho-N-Acetylneuraminic Acid
>PDB:1QWY_A mol:protein length:291     Peptidoglycan Hydrolase
>PDB:1QWR_A mol:protein-het length:319     Mannose-6-Phosphate Isomerase
>PDB:1QW2_A mol:protein-het length:102     Conserved Hypothetical Protein Ta1206
>PDB:1QWD_A mol:protein length:177     Outer Membrane Lipoprotein Blc
>PDB:1QWZ_A mol:protein length:235     Npqtn Specific Sortase B
>PDB:1QWO_A mol:protein length:442     Phytase
>PDB:1QYP_  mol:protein length:57     RNA Polymerase II
>PDB:1QYD_A mol:protein length:313     Pinoresinol-Lariciresinol Reductase
>PDB:1QYM_A mol:protein length:227     26S Proteasome Non-Atpase Regulatory Subunit
>PDB:1QYS_A mol:protein-het length:106     Top7
>PDB:1QYI_A mol:protein-het length:384     Hypothetical Protein
>PDB:1QYU_A mol:protein-het length:349     Ribosomal Large Subunit Pseudouridine Sy
>PDB:1QY6_A mol:protein length:274     Serine Protease
>PDB:1QYY_A mol:protein length:290     Platelet Glycoprotein Ib Alpha Chain
>PDB:1QYR_A mol:protein length:252     High Level Kasugamycin Resistance Protein
>PDB:1R0P_A mol:protein length:312     Hepatocyte Growth Factor Receptor
>PDB:1R0T_B mol:protein length:62     Ovomucoid
>PDB:1R0U_A mol:protein length:148     Protein Ywib
>PDB:1R0V_A mol:protein length:305     tRNA-Intron Endonuclease
>PDB:1R0D_A mol:protein-het length:206     Huntingtin Interacting Protein 12
>PDB:1R02_A mol:protein length:33     Orexin-A
>PDB:1R0M_A mol:protein length:375     N-Acylamino Acid Racemase
>PDB:1R1R_A mol:protein length:761     Ribonucleotide Reductase R1 Protein
>PDB:1R17_A mol:protein length:343     Fibrinogen-Binding Protein Sdrg
>PDB:1R14_A mol:protein length:148     Pulmonary Surfactant-Associated Protein A
>PDB:1R1K_D mol:protein length:266     Ecdysone Receptor
>PDB:1R18_A mol:protein length:227     Protein-L-Isoaspartate(D-Aspartate)-O- Methy
>PDB:1R1Z_A mol:protein length:263     Ergic-53 Protein
>PDB:1R1D_A mol:protein-het length:247     Carboxylesterase
>PDB:1R1F_A mol:protein length:37     Palicourein
>PDB:1R1M_A mol:protein length:164     Outer Membrane Protein Class 4
>PDB:1R1T_A mol:protein length:122     Transcriptional Repressor Smtb
>PDB:1R1U_A mol:protein length:106     Repressor Protein
>PDB:1R2J_A mol:protein length:366     Protein Fkbi
>PDB:1R26_A mol:protein length:125     Thioredoxin
>PDB:1R28_A mol:protein length:127     B-Cell Lymphoma 6 Protein
>PDB:1R21_A mol:protein length:128     Antigen Ki-67
>PDB:1R2M_A mol:protein length:71     Hydrophobin II
>PDB:1R27_B mol:protein length:512     Respiratory Nitrate Reductase 1 Beta Chain
>PDB:1R3E_A mol:protein length:309     tRNA Pseudouridine Synthase B
>PDB:1R30_A mol:protein length:369     Biotin Synthase
>PDB:1R3B_A mol:protein length:202     Mob1
>PDB:1R6T_A mol:protein-het length:477     Tryptophanyl-tRNA Synthetase
>PDB:1R6Z_P mol:protein length:509     Chimera Of Maltose-Binding Periplasmic Prote
>PDB:1R66_A mol:protein length:337     Tdp-Glucose-4,6-Dehydratase
>PDB:1R6R_A mol:protein length:100     Genome Polyprotein
>PDB:1R64_A mol:protein length:481     Kexin
>PDB:1R6F_A mol:protein length:310     Virulence-Associated V Antigen
>PDB:1R61_A mol:protein length:207     Metal-Dependent Hydrolase
>PDB:1R62_A mol:protein length:160     Nitrogen Regulation Protein Nr(II)
>PDB:1RAX_A mol:protein length:115     Ra-Domain Of Ral Guanosine Dissociation Stim
>PDB:1RA0_A mol:protein length:430     Cytosine Deaminase
>PDB:1RB8_G mol:protein length:187     Major Spike Protein
>PDB:1RC2_B mol:protein length:231     Aquaporin Z
>PDB:1RCU_A mol:protein-het length:195     Conserved Hypothetical Protein Vt76
>PDB:1RC7_A mol:protein length:220     Ribonuclease III
>PDB:1RCW_A mol:protein-het length:231     Ct610
>PDB:1RCQ_A mol:protein-het length:357     Catabolic Alanine Racemase Dadx
>PDB:1RD8_A mol:protein length:335     Hemagglutinin
>PDB:1RD4_A mol:protein length:191     Integrin Alpha-L
>PDB:1RDF_A mol:protein length:267     Phosphonoacetaldehyde Hydrolase
>PDB:1REG_X mol:protein length:122     T4 Rega
>PDB:1REP_C mol:protein length:251     Replication Initiation Protein
>PDB:1RE6_A mol:protein length:94     Dynein Light Chain 2
>PDB:1REW_C mol:protein length:135     Bone Morphogentic Protein Receptor Type Ia
>PDB:1RFL_A mol:protein length:172     Probable tRNA Modification Gtpase Trme
>PDB:1RF8_B mol:protein length:100     Eukaryotic Initiation Factor 4F Subunit P150
>PDB:1RF4_A mol:protein length:427     5-Enolpyruvylshikimate-3-Phosphate Synthase
>PDB:1RFM_A mol:protein-het length:344     L-Sulfolactate Dehydrogenase
>PDB:1RF3_B mol:protein length:24     24-Residue Peptide From Lymphotoxin-B Recepto
>PDB:1RGP_  mol:protein length:242     Rhogap
>PDB:1RGR_A mol:protein length:99     Presynaptic Density Protein 95
>PDB:1RGX_A mol:protein length:114     Resistin
>PDB:1RH4_  mol:protein-het length:35     Right-Handed Coiled Coil Tetramer
>PDB:1RH5_A mol:protein length:436     Preprotein Translocase Secy Subunit
>PDB:1RH5_B mol:protein length:74     Preprotein Translocase Sece Subunit
>PDB:1RH5_C mol:protein length:53     Secbeta
>PDB:1RH8_A mol:protein length:142     Piccolo Protein
>PDB:1RH1_A mol:protein length:511     Colicin B
>PDB:1RHF_A mol:protein-het length:182     Tyrosine-Protein Kinase Receptor Tyro3
>PDB:1RHC_A mol:protein length:330     F420-Dependent Alcohol Dehydrogenase
>PDB:1RHY_A mol:protein length:202     Imidazole Glycerol Phosphate Dehydratase
>PDB:1RH7_A mol:protein length:81     Resistin-Like Beta
>PDB:1RIL_  mol:protein length:166     Ribonuclease H (E.C. 3.1.26.4) - Chain _
>PDB:1RI6_A mol:protein length:343     Putative Isomerase Ybhe
>PDB:1RIF_A mol:protein length:282     DNA Helicase Uvsw
>PDB:1RIO_A mol:protein-het length:98     Repressor Protein Ci
>PDB:1RI1_A mol:protein length:298     Mrna Capping Enzyme
>PDB:1RI7_A mol:protein length:171     Putative Transcriptional Regulator
>PDB:1RIQ_A mol:protein-het length:465     Alanyl-tRNA Synthetase
>PDB:1RI9_A mol:protein length:102     Fyn-Binding Protein
>PDB:1RIM_A mol:protein-het length:35     E6Apc2 Peptide
>PDB:1RK4_A mol:protein length:243     Chloride Intracellular Channel Protein 1
>PDB:1RKC_B mol:protein length:26     Talin
>PDB:1RKQ_A mol:protein length:282     Hypothetical Protein Yida
>PDB:1RKL_A mol:protein length:36     Dolichyl-Diphosphooligosaccharide--Protein Gl
>PDB:1RKU_A mol:protein length:206     Homoserine Kinase
>PDB:1RKX_A mol:protein length:357     Cdp-Glucose-4,6-Dehydratase
>PDB:1RK3_A mol:protein length:292     Vitamin D3 Receptor
>PDB:1RK8_C mol:protein length:58     Within The Bgcn Gene Intron Protein
>PDB:1RKT_A mol:protein-het length:205     Protein Yfir
>PDB:1RK5_A mol:protein length:496     D-Aminoacylase
>PDB:6RLX_A mol:protein-het length:24     Relaxin - Chain A
>PDB:6RLX_B mol:protein length:28     Relaxin - Chain B
>PDB:1RL4_A mol:protein length:188     Formylmethionine Deformylase
>PDB:1RLI_A mol:protein length:184     Trp Repressor Binding Protein
>PDB:1RL1_A mol:protein length:114     Suppressor Of G2 Allele Of Skp1 Homolog
>PDB:1RLH_A mol:protein length:173     Conserved Hypothetical Protein
>PDB:1RLY_A mol:protein length:60     Transcription Initiation Factor Iib
>PDB:1RLJ_A mol:protein length:139     Nrdi Protein
>PDB:1RLZ_A mol:protein length:369     Deoxyhypusine Synthase
>PDB:1RLU_A mol:protein length:382     Cell Division Protein Ftsz
>PDB:1RMD_  mol:protein length:116     Rag1
>PDB:1RMG_  mol:protein length:422     Rhamnogalacturonase A
>PDB:1RMK_A mol:protein length:31     Mu-O-Conotoxin Mrvib
>PDB:1RMJ_A mol:protein length:107     Insulin-Like Growth Factor Binding Protein 6
>PDB:1RNI_A mol:protein length:216     Orf904
>PDB:1RN7_A mol:protein length:122     Cystatin D
>PDB:1RO8_A mol:protein-het length:262     Alpha-2,3/8-Sialyltransferase
>PDB:1RO5_A mol:protein length:201     Autoinducer Synthesis Protein Lasi
>PDB:1RPB_  mol:protein length:21     Rp 71955 (Tricyclic Peptide Active Against Hi
>PDB:1RPX_A mol:protein length:230     Ribulose-Phosphate 3-Epimerase
>PDB:1RPY_A mol:protein-het length:114     Adaptor Protein Aps
>PDB:1RPU_A mol:protein length:172     19 Kda Protein
>PDB:1RP3_A mol:protein length:239     RNA Polymerase Sigma Factor Sigma-28 (Flia)
>PDB:1RP3_B mol:protein length:88     Anti Sigma Factor Flgm
>PDB:1RP4_A mol:protein-het length:389     Hypothetical 65.0 Kda Protein In Cox14-C
>PDB:1RRB_  mol:protein length:107     Raf Proto-Oncogene Serine/Threonine-Protein
>PDB:1RR9_A mol:protein length:200     ATP-Dependent Protease La
>PDB:1RRQ_A mol:protein length:369     Muty
>PDB:1RRV_A mol:protein length:416     Glycosyltransferase Gtfd
>PDB:1RRZ_A mol:protein length:86     Glycogen Synthesis Protein Glgs
>PDB:1RR7_A mol:protein length:129     Middle Operon Regulator
>PDB:1RRM_A mol:protein-het length:386     Lactaldehyde Reductase
>PDB:1RR2_A mol:protein-het length:539     Transcarboxylase 5S Subunit
>PDB:1RSO_A mol:protein length:60     Presynaptic Protein Sap97
>PDB:1RSO_B mol:protein length:56     Peripheral Plasma Membrane Protein Cask
>PDB:1RTF_A mol:protein length:17     Two Chain Tissue Plasminogen Activator
>PDB:1RTU_  mol:protein-het length:114     Ribonuclease U2
>PDB:1RTY_A mol:protein-het length:193     Yvqk Protein
>PDB:1RTW_A mol:protein-het length:220     Transcriptional Activator, Putative
>PDB:1RTQ_A mol:protein length:299     Bacterial Leucyl Aminopeptidase
>PDB:1RTR_A mol:protein length:301     Geranyltranstransferase
>PDB:1RTV_A mol:protein length:184     Dtdp-4-Dehydrorhamnose 3,5-Epimerase
>PDB:1RT8_A mol:protein length:513     Fimbrin
>PDB:1RTT_A mol:protein length:193     Conserved Hypothetical Protein
>PDB:1RUS_A mol:protein length:490     Rubisco (Ribulose-1,5-Bisphosphate Carboxyla
>PDB:1RU3_A mol:protein length:732     Acetyl-Coa Synthase
>PDB:1RU8_A mol:protein-het length:232     Putative N-Type ATP Pyrophosphatase
>PDB:1RU4_A mol:protein length:400     Pectate Lyase
>PDB:1RU0_A mol:protein length:105     Dcoh-Like Protein Dcohm
>PDB:1RUT_X mol:protein length:188     Fusion Protein Of Lmo4 Protein and Lim Domai
>PDB:1RVK_A mol:protein-het length:382     Isomerase/Lactonizing Enzyme
>PDB:1RV8_A mol:protein length:305     Fructose-1,6-Bisphosphate Aldolase
>PDB:1RV9_A mol:protein length:259     Conserved Hypothetical Protein Nmb0706
>PDB:1RXX_A mol:protein-het length:421     Arginine Deiminase
>PDB:1RXM_A mol:protein length:245     DNA Polymerase Sliding Clamp
>PDB:1RXM_B mol:protein length:12     Consensus Fen-1 Peptide
>PDB:1RX0_A mol:protein length:393     Acyl-Coa Dehydrogenase Family Member 8, Mito
>PDB:1RXQ_A mol:protein-het length:178     Yfit
>PDB:1RYB_A mol:protein length:212     Crs2
>PDB:1RY7_B mol:protein length:334     Fibroblast Growth Factor Receptor 3
>PDB:1RYJ_A mol:protein length:70     Unknown
>PDB:1RYK_A mol:protein length:69     Protein Yjbj
>PDB:1RY2_A mol:protein length:663     Acetyl-Coenzyme A Synthetase 1
>PDB:1RY9_A mol:protein length:145     Surface Presentation Of Antigens Protein Spa
>PDB:1RY3_A mol:protein length:64     Bacteriocin Carnobacteriocin B2
>PDB:1RYU_A mol:protein length:120     Swi/Snf-Related, Matrix-Associated, Actin- D
>PDB:1RYA_A mol:protein length:160     GDP-Mannose Mannosyl Hydrolase
>PDB:1RYL_A mol:protein length:167     Hypothetical Protein Yfbm
>PDB:1RYQ_A mol:protein length:69     DNA-Directed RNA Polymerase, Subunit E''
>PDB:1RZ9_A mol:protein length:197     Rep Protein
>PDB:1RZT_A mol:protein length:331     DNA Polymerase Lambda
>PDB:1RZ0_A mol:protein-het length:161     Phenol 2-Hydroxylase Component B
>PDB:1RZ3_A mol:protein-het length:201     Hypothetical Protein Rbstp0775
>PDB:1RZS_A mol:protein length:61     Regulatory Protein Cro
>PDB:1RZ2_A mol:protein length:254     Conserved Hypothetical Protein Ba4783
>PDB:1RZM_A mol:protein length:338     Phospho-2-Dehydro-3-Deoxyheptonate Aldolase
>PDB:1RZU_A mol:protein length:485     Glycogen Synthase 1
>PDB:1RZ4_A mol:protein-het length:226     Eukaryotic Translation Initiation Factor
>PDB:1RZR_G mol:protein-het length:332     Glucose-Resistance Amylase Regulator
>PDB:1S05_A mol:protein length:129     Cytochrome C-556
>PDB:1S0P_A mol:protein length:176     Adenylyl Cyclase-Associated Protein
>PDB:1S0X_A mol:protein length:270     Nuclear Receptor Ror-Alpha
>PDB:1S0Y_A mol:protein length:76     Alpha-Subunit Of Trans-3-Chloroacrylic Acid D
>PDB:1S0Y_B mol:protein length:71     Beta-Subunit Of Trans-3-Chloroacrylic Acid De
>PDB:1S96_A mol:protein-het length:219     Guanylate Kinase
>PDB:1S9D_E mol:protein-het length:203     Arno
>PDB:1S9V_C mol:protein length:11     Alpha-I Gliadin
>PDB:1S9R_A mol:protein length:410     Arginine Deiminase
>PDB:1S9H_A mol:protein length:268     Rep 40 Protein
>PDB:1S9A_A mol:protein length:257     Chlorocatechol 1,2-Dioxygenase
>PDB:1S9U_A mol:protein-het length:207     Putative Component Of Anaerobic Dehydrog
>PDB:1S95_A mol:protein length:333     Serine/Threonine Protein Phosphatase 5
>PDB:1S99_A mol:protein-het length:200     Ykof
>PDB:2SAS_  mol:protein length:185     Sarcoplasmic Calcium-Binding Protein (Iso Ty
